type_of_procedure_actual,type_of_procedure
Direct,Other
Simplified restricted,Restricted
Simplified,Other
Competitive dialogue,Competitive dialogue
Dynamic purchasing system only usable by buyers listed in this notice,Other
Other,Other
Choice system,Other
LawOfChoiceSystem,Other
Negotiated with prior publication of a call for competition / competitive with negotiation,Negotiated with prior publication of a call for competition /   competitive with negotiation
Open,Open
Other multiple stage procedure,Other
Other single stage procedure,Other
Private,Other
Project competition,Other
Qualification system,Other
Renewed competition,Other
Restricted,Restricted
Rfi,Other
Preview,Other