category ,mapped cpv
advisories/consultants/pMO,79000000#79400000
business development,79400000#79900000
building and construction of efe venues,45000000
diagnostic studies / cadastres / surveys,71354300#71300000
counterparty engineering,79000000
ito - technical work inspection,71600000
rolling material,42932100#42000000
railway construction works and/or supplies,34946000#45213320
engineering service (conceptual-basic-detail),71300000
financial legal and professional services,79000000#66000000
it services and supplies,48000000#72000000
transversal services and supplies,79000000
electrification and communication system,32000000#64200000